dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1_01_CI,10.141.64.49,DVEBMGS01
dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1_01_DB,10.141.64.49,DB
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DNU_26_CI,10.141.64.114,DVEBMGS26
dcp,legdgn01,dcpaix21289325,dcppwr21175818,10.141.64.98,62,149,DGH_12_CI,10.141.64.99,DVEBMGS12
dcp,legdgn01,dcpaix21289325,dcppwr21175818,10.141.64.98,62,149,AGH_58_CI,10.141.64.100,DVEBMGS58
dcp,legdgn01,dcpaix21290142,dcppwr20164807,10.141.64.27,19,149,AGH_58_DB,10.141.64.29,DB
dcp,legdgn01,dcpaix21290142,dcppwr20164807,10.141.64.27,19,149,DGH_12_DB,10.141.64.28,DB
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT_23_CI,10.141.64.34,SCS23
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT_22_CI,10.141.64.34,DVEBMGS22
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT_22_DB,10.141.64.31,DB
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT_24_CI,10.141.64.46,DVEBMGS24
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT_25_CI,10.141.64.46,SCS25
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT_24_DB,10.141.64.45,DB
dcp,legdgn01,dcpaix21322795,dcppwr20164807,10.141.64.199,12,149,QNU_23_DB,10.141.64.200,DB
in10c2@10.141.64.195's password: 
in10c2@10.141.64.195's password: 
dcp,legdgn01,dcpaix21325978,dcppwr21175812,10.141.64.116,12,149,QNU_23_CI,10.141.64.116,DVEBMGS23
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DNU_26_CI,10.141.64.114,DVEBMGS26
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E_32_CI,10.141.64.168,DVEBMGS32
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E_32_DB,10.141.64.169,DB
